Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Years
207,Braxton Miller,HOU,25,WR,11,3,29,19,65.50%,162,8.5,1,8,57,5.6,1.7,14.7,0,2017
118,Braylon Edwards,CLE,22,WR,10,7,59,32,54.20%,512,16,3,22,80,8.7,3.2,51.2,0,2005
41,Braylon Edwards,CLE,23,WR,16,15,125,61,48.80%,884,14.5,6,38,75,7.1,3.8,55.3,0,2006
51,Braylon Edwards,CLE,25,WR,16,16,138,55,39.90%,873,15.9,3,42,70,6.3,3.4,54.6,0,2008
83,Braylon Edwards,2TM,26,WR,16,15,95,45,47.40%,680,15.1,4,0,65,7.2,2.8,42.5,1,2009
55,Braylon Edwards,NYJ,27,WR,16,15,101,53,52.50%,904,17.1,7,40,74,9,3.3,56.5,1,2010
222,Braylon Edwards,SFO,28,WR,9,5,34,15,44.10%,181,12.1,0,9,24,5.3,1.7,20.1,0,2011
201,Braylon Edwards,2TM,29,WR,13,4,35,18,51.40%,199,11.1,1,0,19,5.7,1.4,15.3,0,2012
21,Braylon Edwards*,CLE,24,WR,16,16,154,80,51.90%,1289,16.1,16,56,78,8.4,5,80.6,3,2007
432,Braylon Sanders,MIA,23,WR,3,0,3,2,66.70%,17,8.5,0,0,13,5.7,0.7,5.7,1,2022
237,Brenton Bersin,CAR,24,WR,15,1,20,13,65.00%,151,11.6,1,11,29,7.6,0.9,10.1,2,2014
299,Brenton Bersin,CAR,25,WR,9,2,11,9,81.80%,119,13.2,0,5,30,10.8,1,13.2,1,2015
392,Brenton Bersin,CAR,26,WR,10,0,6,2,33.30%,17,8.5,0,2,10,2.8,0.2,1.7,0,2016
293,Brenton Bersin,CAR,27,WR,8,1,14,8,57.10%,128,16,0,6,27,9.1,1,16,0,2017
138,Breshad Perriman,BAL,23,WR,16,1,66,33,50.00%,499,15.1,3,19,53,7.6,2.1,31.2,0,2016
278,Breshad Perriman,BAL,24,WR,11,3,35,10,28.60%,77,7.7,0,3,14,2.2,0.9,7,0,2017
234,Breshad Perriman,CLE,25,WR,10,2,25,16,64.00%,340,21.3,2,13,66,13.6,1.6,34,0,2018
118,Breshad Perriman,TAM,26,WR,14,4,69,36,52.20%,645,17.9,6,29,44,9.3,2.6,46.1,0,2019
151,Breshad Perriman,NYJ,27,WR,12,12,60,30,50.00%,505,16.8,3,20,53,8.4,2.5,42.1,0,2020
283,Breshad Perriman,TAM,28,WR,6,0,18,11,61.10%,167,15.2,1,5,58,9.3,1.8,27.8,0,2021
301,Breshad Perriman,TAM,29,WR,11,3,19,9,47.40%,110,12.2,1,5,28,5.8,0.8,10,2,2022
461,Brett Swain,GNB,24,WR,6,0,1,0,0.00%,0,,0,0,0,0,0,0,,2009
315,Brett Swain,GNB,25,WR,16,1,9,6,66.70%,72,12,0,3,31,8,0.4,4.5,0,2010
397,Brett Swain,SFO,26,WR,5,1,7,2,28.60%,15,7.5,0,1,9,2.1,0.4,3,0,2011
338,Brian Clark,2TM,24,WR,5,0,6,4,66.70%,23,5.8,0,0,7,3.8,0.8,4.6,2,2007
408,Brian Clark,TAM,25,WR,9,0,2,1,50.00%,12,12,0,1,12,6,0.1,1.3,0,2008
300,Brian Clark,TAM,26,WR,14,0,18,6,33.30%,65,10.8,0,3,17,3.6,0.4,4.6,0,2009
442,Brian Clark,DET,27,WR,4,0,1,0,0.00%,0,,0,0,0,0,0,0,,2010
269,Brian Finneran,ATL,24,WR,12,0,14,7,50.00%,60,8.6,0,3,14,4.3,0.6,5,0,2000
144,Brian Finneran,ATL,25,WR,16,1,41,23,56.10%,491,21.3,3,18,52,12,1.4,30.7,0,2001
50,Brian Finneran,ATL,26,WR,16,16,102,56,54.90%,838,15,6,41,47,8.2,3.5,52.4,2,2002
142,Brian Finneran,ATL,27,WR,12,10,54,26,48.10%,368,14.2,2,21,38,6.8,2.2,30.7,0,2003
