Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Years
334,Dan Campbell,DAL,29,TE,16,12,7,3,42.90%,24,8,1,2,18,3.4,0.2,1.5,0,2005
169,Dan Campbell,DET,30,TE,16,11,32,21,65.60%,308,14.7,4,16,30,9.6,1.3,19.3,0,2006
398,Dan Campbell,DET,31,TE,2,1,1,1,100.00%,1,1,0,0,1,1,0.5,0.5,0,2007
406,Dan Campbell,DET,32,TE,1,0,1,1,100.00%,21,21,0,1,21,21,1,21,0,2008
401,Dan Gronkowski,DET,24,TE,2,0,3,1,33.30%,4,4,0,0,4,1.3,0.5,2,0,2009
283,Dan Gronkowski,DEN,25,TE,12,4,13,8,61.50%,65,8.1,0,3,13,5,0.7,5.4,0,2010
145,Daniel Bellinger,NYG,22,TE,12,11,35,30,85.70%,268,8.9,2,14,24,7.7,2.5,22.3,1,2022
242,Daniel Coats,CIN,23,TE,15,3,16,12,75.00%,122,10.2,0,7,25,7.6,0.8,8.1,0,2007
375,Daniel Coats,CIN,24,TE,16,4,10,2,20.00%,19,9.5,0,1,11,1.9,0.1,1.2,0,2008
213,Daniel Coats,CIN,25,TE,16,11,31,16,51.60%,150,9.4,0,3,23,4.8,1,9.4,2,2009
443,Daniel Coats,2TM,26,TE,10,0,2,0,0.00%,0,,0,0,0,0,0,0,,2010
290,Daniel Fells,STL,25,TE,12,1,11,7,63.60%,81,11.6,0,4,26,7.4,0.6,6.8,0,2008
173,Daniel Fells,STL,26,TE,14,4,35,21,60.00%,273,13,3,12,36,7.8,1.5,19.5,1,2009
101,Daniel Fells,STL,27,TE,16,6,65,41,63.10%,391,9.5,2,24,36,6,2.6,24.4,0,2010
189,Daniel Fells,DEN,28,TE,16,15,31,19,61.30%,256,13.5,3,13,32,8.3,1.2,16,2,2011
344,Daniel Fells,NWE,29,TE,13,4,10,4,40.00%,85,21.3,0,3,35,8.5,0.3,6.5,0,2012
222,Daniel Fells,NYG,31,TE,16,9,20,16,80.00%,188,11.8,4,12,27,9.4,1,11.8,1,2014
339,Daniel Fells,NYG,32,TE,2,1,7,6,85.70%,60,10,0,4,23,8.6,3,30,0,2015
219,Daniel Graham,NWE,24,TE,12,6,23,15,65.20%,150,10,1,7,31,6.5,1.3,12.5,0,2002
97,Daniel Graham,NWE,25,TE,14,9,63,38,60.30%,409,10.8,4,21,38,6.5,2.7,29.2,0,2003
121,Daniel Graham,NWE,26,TE,14,14,48,30,62.50%,364,12.1,7,20,48,7.6,2.1,26,0,2004
209,Daniel Graham,NWE,27,TE,11,9,25,16,64.00%,235,14.7,3,9,45,9.4,1.5,21.4,1,2005
170,Daniel Graham,NWE,28,TE,12,11,34,21,61.80%,235,11.2,2,12,29,6.9,1.8,19.6,1,2006
159,Daniel Graham,DEN,29,TE,15,15,33,24,72.70%,246,10.3,2,12,28,7.5,1.6,16.4,0,2007
126,Daniel Graham,DEN,30,TE,16,16,50,32,64.00%,389,12.2,4,20,28,7.8,2,24.3,0,2008
145,Daniel Graham,DEN,31,TE,16,14,43,28,65.10%,289,10.3,1,14,24,6.7,1.8,18.1,0,2009
208,Daniel Graham,DEN,32,TE,16,16,37,18,48.60%,148,8.2,0,6,28,4,1.1,9.3,1,2010
386,Daniel Graham,TEN,33,TE,16,7,5,2,40.00%,25,12.5,1,2,21,5,0.1,1.6,0,2011
480,Daniel Helm,LVR,26,TE,9,1,2,1,50.00%,-1,-1,0,0,0,-0.5,0.1,-0.1,0,2021
152,Daniel Wilcox,BAL,27,TE,16,5,35,25,71.40%,219,8.8,1,12,20,6.3,1.6,13.7,1,2004
182,Daniel Wilcox,BAL,28,TE,13,3,28,20,71.40%,154,7.7,1,5,17,5.5,1.5,11.8,0,2005
184,Daniel Wilcox,BAL,29,TE,14,6,27,20,74.10%,166,8.3,3,12,35,6.1,1.4,11.9,2,2006
320,Daniel Wilcox,BAL,30,TE,5,2,11,6,54.50%,18,3,1,1,7,1.6,1.2,3.6,0,2007
325,Daniel Wilcox,BAL,31,TE,13,1,7,5,71.40%,19,3.8,2,2,8,2.7,0.4,1.5,0,2008
401,Danny Noble,JAX,24,TE,8,1,3,2,66.70%,63,31.5,1,1,62,21,0.3,7.9,0,2013
319,Dante Rosario,CAR,23,TE,16,2,7,6,85.70%,108,18,2,5,54,15.4,0.4,6.8,0,2007
194,Dante Rosario,CAR,24,TE,16,6,31,18,58.10%,209,11.6,1,11,24,6.7,1.1,13.1,0,2008
157,Dante Rosario,CAR,25,TE,14,8,48,26,54.20%,313,12,2,19,26,6.5,1.9,22.4,0,2009
136,Dante Rosario,CAR,26,TE,16,6,58,32,55.20%,264,8.3,0,15,26,4.6,2,16.5,0,2010
303,Dante Rosario,2TM,27,TE,16,3,11,7,63.60%,117,16.7,0,0,32,10.6,0.4,7.3,0,2011
266,Dante Rosario,SDG,28,TE,13,2,18,10,55.60%,95,9.5,3,6,18,5.3,0.8,7.3,1,2012
445,Dante Rosario,CHI,29,TE,15,3,4,1,25.00%,13,13,0,1,13,3.3,0.1,0.9,0,2013
225,Dante Rosario,CHI,30,TE,16,3,22,16,72.70%,116,7.3,0,3,22,5.3,1,7.3,1,2014
425,Darcy Johnson,NYG,23,TE,1,0,1,0,0.00%,0,,0,0,0,0,0,0,,2006
335,Darcy Johnson,NYG,25,TE,16,2,6,4,66.70%,46,11.5,2,4,26,7.7,0.3,2.9,1,2008
328,Darcy Johnson,NYG,26,TE,13,4,7,5,71.40%,32,6.4,0,2,14,4.6,0.4,2.5,1,2009
446,Darcy Johnson,STL,27,TE,4,2,2,0,0.00%,0,,0,0,0,0,0,0,,2010
360,Darnell Dinkins,NYG,26,TE,7,0,5,2,40.00%,16,8,0,1,10,3.2,0.3,2.3,0,2003
269,Darnell Dinkins,BAL,27,TE,10,4,15,9,60.00%,94,10.4,1,5,18,6.3,0.9,9.4,0,2004
