,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Years
171,167,Clifton Smith*,TAM,23,RB,9,0,8,40,0,3,10,5,4.4,4,2008
13,14,Clinton Portis,DEN,21,RB,16,12,273,1508,15,82,59,5.5,94.3,5,2002
4,5,Clinton Portis,WAS,23,RB,15,15,343,1315,5,67,64,3.8,87.7,5,2004
3,4,Clinton Portis,WAS,24,RB,16,16,352,1516,11,76,47,4.3,94.8,3,2005
42,42,Clinton Portis,WAS,25,RB,8,7,127,523,7,31,38,4.1,65.4,0,2006
0,1,Clinton Portis,WAS,26,RB,16,16,325,1262,11,61,32,3.9,78.9,6,2007
40,40,Clinton Portis,WAS,28,RB,8,8,124,494,1,20,78,4,61.8,1,2009
69,68,Clinton Portis,WAS,29,RB,5,5,54,227,2,12,27,4.2,45.4,0,2010
13,14,Clinton Portis*,DEN,22,RB,13,13,290,1591,14,79,65,5.5,122.4,3,2003
2,3,Clinton Portis*,WAS,27,RB,16,16,342,1487,9,78,31,4.3,92.9,3,2008
16,17,Clyde Edwards-Helaire,KAN,21,RB,13,13,181,803,4,39,31,4.4,61.8,0,2020
46,46,Clyde Edwards-Helaire,KAN,22,RB,10,10,119,517,4,21,17,4.3,51.7,2,2021
67,66,Clyde Edwards-Helaire,KAN,23,RB,10,6,71,302,3,15,52,4.3,30.2,0,2022
196,191,Collin Mooney,TEN,26,RB,2,0,5,19,0,2,8,3.8,9.5,0,2012
27,28,Cordarrelle Patterson,ATL,30,RB,16,13,153,618,6,29,39,4,38.6,2,2021
37,37,Cordarrelle Patterson,ATL,31,RB,13,11,144,695,8,39,40,4.8,53.5,1,2022
61,60,Corey Clement,PHI,23,RB,16,0,74,321,4,19,28,4.3,20.1,0,2017
63,62,Corey Clement,PHI,24,RB,11,0,68,259,2,15,32,3.8,23.5,4,2018
136,133,Corey Clement,PHI,26,RB,15,0,21,75,1,3,7,3.6,5,0,2020
121,119,Corey Clement,DAL,27,RB,17,0,33,140,0,7,38,4.2,8.2,0,2021
158,154,Corey Clement,ARI,28,RB,9,1,15,55,1,6,12,3.7,6.1,0,2022
5,6,Corey Dillon,CIN,28,RB,16,16,314,1311,7,72,67,4.2,81.9,5,2002
34,34,Corey Dillon,CIN,29,RB,13,11,138,541,2,27,39,3.9,41.6,0,2003
21,22,Corey Dillon,NWE,31,RB,12,10,209,733,12,51,29,3.5,61.1,1,2005
27,28,Corey Dillon,NWE,32,RB,16,13,199,812,13,49,50,4.1,50.8,2,2006
6,7,Corey Dillon*,CIN,26,RB,16,16,315,1435,7,71,80,4.6,89.7,4,2000
1,2,Corey Dillon*,CIN,27,RB,16,16,340,1315,10,69,96,3.9,82.2,5,2001
3,4,Corey Dillon*,NWE,30,RB,15,14,345,1635,12,84,44,4.7,109,5,2004
190,185,Corey Grant,JAX,24,RB,6,0,6,2,0,1,11,0.3,0.3,1,2015
106,104,Corey Grant,JAX,25,RB,11,1,32,164,1,7,57,5.1,14.9,0,2016
113,111,Corey Grant,JAX,26,RB,16,0,30,248,2,10,58,8.3,15.5,1,2017
147,144,Corey Grant,JAX,27,RB,5,1,13,40,0,1,8,3.1,8,0,2018
38,38,Correll Buckhalter,PHI,23,RB,15,6,129,586,2,30,48,4.5,39.1,2,2001
37,37,Correll Buckhalter,PHI,25,RB,15,5,126,542,8,31,64,4.3,36.1,3,2003
53,53,Correll Buckhalter,PHI,28,RB,16,1,83,345,2,16,20,4.2,21.6,2,2006
64,63,Correll Buckhalter,PHI,29,RB,14,2,62,313,4,17,30,5,22.4,1,2007
56,56,Correll Buckhalter,PHI,30,RB,14,2,76,369,2,18,33,4.9,26.4,0,2008
42,42,Correll Buckhalter,DEN,31,RB,14,7,120,642,1,30,45,5.4,45.9,3,2009
68,67,Correll Buckhalter,DEN,32,RB,15,0,59,147,2,10,13,2.5,9.8,1,2010
154,150,Cory Ross,BAL,25,RB,6,0,12,72,1,3,32,6,12,2,2007
358,348,Craig Reynolds,JAX,24,RB,2,0,1,4,0,0,4,4,2,0,2020
86,85,Craig Reynolds,DET,25,RB,5,2,55,230,0,11,35,4.2,46,0,2021
131,128,Craig Reynolds,DET,26,RB,9,0,23,102,0,4,21,4.4,11.3,0,2022
236,230,Curtis Brinkley,SDG,25,RB,3,0,2,11,0,1,9,5.5,3.7,0,2010
