,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Years
97,95,Darwin Thompson,KAN,22,RB,12,0,37,128,1,9,12,3.5,10.7,0,2019
127,124,Darwin Thompson,KAN,23,RB,14,1,27,97,1,7,14,3.6,6.9,0,2020
45,45,Daryl Richardson,STL,22,RB,16,0,98,475,0,22,53,4.8,29.7,3,2012
66,65,Daryl Richardson,STL,23,RB,8,3,69,215,0,12,14,3.1,26.9,0,2013
259,252,Daryl Richardson,PIT,26,RB,3,0,2,7,0,0,6,3.5,2.3,0,2016
208,203,David Allen,JAX,25,RB,14,0,4,8,0,1,6,2,0.6,2,2003
81,80,David Cobb,TEN,22,RB,7,1,52,146,1,6,12,2.8,20.9,0,2015
212,207,David Fluellen,TEN,25,RB,16,0,4,21,0,1,10,5.3,1.3,0,2017
216,210,David Fluellen,TEN,26,RB,7,0,4,16,0,1,13,4,2.3,0,2018
39,39,David Johnson,ARI,24,RB,16,5,125,581,8,36,47,4.6,36.3,4,2015
154,150,David Johnson,ARI,26,RB,1,1,11,23,0,0,6,2.1,23,2,2017
2,3,David Johnson,ARI,27,RB,16,16,258,940,7,51,53,3.6,58.8,3,2018
48,48,David Johnson,ARI,28,RB,13,9,94,345,2,20,18,3.7,26.5,1,2019
25,26,David Johnson,HOU,29,RB,12,12,147,691,6,38,48,4.7,57.6,2,2020
72,71,David Johnson,HOU,30,RB,13,4,67,228,0,7,15,3.4,17.5,1,2021
174,170,David Johnson,NOR,31,RB,5,0,12,24,0,0,5,2,4.8,1,2022
2,3,David Johnson*+,ARI,25,RB,16,16,293,1239,16,73,58,4.2,77.4,5,2016
13,14,David Montgomery,CHI,22,RB,16,8,242,889,6,50,55,3.7,55.6,2,2019
3,4,David Montgomery,CHI,23,RB,15,14,247,1070,8,59,80,4.3,71.3,1,2020
8,9,David Montgomery,CHI,24,RB,13,13,225,849,7,55,41,3.8,65.3,1,2021
21,22,David Montgomery,CHI,25,RB,16,16,201,801,5,41,28,4,50.1,2,2022
180,176,David Williams,JAX,24,RB,6,0,8,36,0,3,15,4.5,6,0,2018
63,62,David Wilson,NYG,21,RB,16,2,71,358,4,17,52,5,22.4,1,2012
94,92,David Wilson,NYG,22,RB,5,4,44,146,1,10,18,3.3,29.2,2,2013
117,115,De Dorsey,CIN,23,RB,12,2,21,183,0,9,45,8.7,15.3,0,2007
189,184,De Dorsey,CIN,24,RB,4,0,5,8,0,0,7,1.6,2,0,2008
179,175,De'Angelo Henderson,DEN,25,RB,5,0,7,13,0,2,5,1.9,2.6,0,2017
262,255,De'Angelo Henderson,NYJ,26,RB,3,0,2,19,0,0,13,9.5,6.3,1,2018
152,149,De'Anthony Thomas,KAN,21,RB,12,3,14,113,1,3,26,8.1,9.4,0,2014
178,174,De'Anthony Thomas,KAN,22,RB,10,1,9,34,1,3,13,3.8,3.4,2,2015
220,214,De'Anthony Thomas,KAN,23,RB,12,0,4,29,0,1,23,7.3,2.4,0,2016
320,311,De'Anthony Thomas,KAN,24,RB,16,2,1,4,0,0,4,4,0.3,1,2017
345,335,De'Anthony Thomas,KAN,25,RB,5,0,1,6,0,0,6,6,1.2,1,2018
281,273,De'Anthony Thomas,2TM,26,RB,14,0,2,5,0,1,4,2.5,0.4,3,2019
347,337,De'Lance Turner,BAL,23,RB,4,0,1,4,0,0,4,4,1,0,2018
225,219,De'Lance Turner,MIA,24,RB,8,0,4,6,0,0,5,1.5,0.8,0,2019
127,124,De'Mond Parker,GNB,24,RB,8,0,18,85,0,4,24,4.7,10.6,0,2000
55,55,DeAndre Washington,OAK,23,RB,14,2,87,467,2,19,30,5.4,33.4,1,2016
82,81,DeAndre Washington,OAK,24,RB,15,0,57,153,2,10,11,2.7,10.2,2,2017
114,112,DeAndre Washington,OAK,25,RB,10,0,30,115,0,8,13,3.8,11.5,1,2018
44,44,DeAndre Washington,OAK,26,RB,16,3,108,387,3,23,36,3.6,24.2,0,2019
116,114,DeAndre Washington,2TM,27,RB,4,1,31,91,0,2,16,2.9,22.8,0,2020
45,45,DeAngelo Williams,CAR,23,RB,13,2,121,501,1,31,31,4.1,38.5,1,2006
38,38,DeAngelo Williams,CAR,24,RB,16,0,144,717,4,30,75,5,44.8,1,2007
8,9,DeAngelo Williams,CAR,25,RB,16,16,273,1515,18,65,69,5.5,94.7,0,2008
51,51,DeAngelo Williams,CAR,27,RB,6,6,87,361,1,12,39,4.1,60.2,1,2010
27,28,DeAngelo Williams,CAR,28,RB,16,14,155,836,7,33,74,5.4,52.3,0,2011
24,25,DeAngelo Williams,CAR,29,RB,16,10,173,737,5,34,65,4.3,46.1,2,2012
21,22,DeAngelo Williams,CAR,30,RB,15,15,201,843,3,36,43,4.2,56.2,3,2013
72,71,DeAngelo Williams,CAR,31,RB,6,6,62,219,0,7,17,3.5,36.5,1,2014
14,15,DeAngelo Williams,PIT,32,RB,16,10,200,907,11,53,55,4.5,56.7,4,2015
44,44,DeAngelo Williams,PIT,33,RB,9,4,98,343,4,22,17,3.5,38.1,0,2016
19,20,DeAngelo Williams*,CAR,26,RB,13,13,216,1117,7,51,77,5.2,85.9,3,2009
25,26,DeMarco Murray,DAL,23,RB,13,7,164,897,2,42,91,5.5,69,1,2011
26,27,DeMarco Murray,DAL,24,RB,10,10,161,663,4,39,48,4.1,66.3,3,2012
18,19,DeMarco Murray,PHI,27,RB,15,8,193,702,6,48,54,3.6,46.8,2,2015
20,21,DeMarco Murray,TEN,29,RB,15,15,184,659,6,33,75,3.6,43.9,1,2017
17,18,DeMarco Murray*,DAL,25,RB,14,14,217,1121,9,65,43,5.2,80.1,3,2013
3,4,DeMarco Murray*,TEN,28,RB,16,16,293,1287,9,67,75,4.4,80.4,3,2016
0,1,DeMarco Murray*+,DAL,26,RB,16,16,392,1845,13,89,51,4.7,115.3,5,2014
41,41,DeShaun Foster,CAR,23,RB,14,2,113,429,0,23,21,3.8,30.6,3,2003
67,66,DeShaun Foster,CAR,24,RB,4,3,59,255,2,13,71,4.3,63.8,0,2004
23,24,DeShaun Foster,CAR,25,RB,15,5,205,879,2,38,70,4.3,58.6,2,2005
23,24,DeShaun Foster,CAR,26,RB,14,14,227,897,3,49,43,4,64.1,4,2006
12,13,DeShaun Foster,CAR,27,RB,16,16,247,876,3,43,20,3.5,54.8,7,2007
57,57,DeShaun Foster,SFO,28,RB,16,2,76,234,1,13,18,3.1,14.6,2,2008
75,74,DeShawn Wynn,GNB,24,RB,7,4,50,203,4,10,44,4.1,29,0,2007
173,169,DeShawn Wynn,GNB,25,RB,5,0,8,110,1,2,73,13.8,22,1,2008
195,190,DeShawn Wynn,GNB,26,RB,4,0,6,19,0,0,6,3.2,4.8,0,2009
46,46,Dee Brown,CAR,24,RB,14,3,102,360,4,20,24,3.5,25.7,4,2002
176,172,Dee Brown,KAN,27,RB,8,0,7,21,0,0,7,3,2.6,0,2005
148,145,Dee Brown,KAN,28,RB,15,0,10,24,0,1,7,2.4,1.6,1,2006
110,108,DeeJay Dallas,SEA,22,RB,12,2,34,108,2,9,13,3.2,9,0,2020
123,120,DeeJay Dallas,SEA,23,RB,17,0,33,138,2,10,15,4.2,8.1,1,2021
103,101,DeeJay Dallas,SEA,24,RB,15,0,35,186,0,9,27,5.3,12.4,1,2022
94,92,Deji Karim,JAX,24,RB,11,0,35,160,0,8,15,4.6,14.5,4,2010
70,69,Deji Karim,JAX,25,RB,12,0,63,130,0,10,14,2.1,10.8,1,2011
146,143,Deji Karim,HOU,27,RB,7,0,12,51,0,3,14,4.3,7.3,0,2013
53,53,Delone Carter,IND,24,RB,16,3,101,377,2,18,42,3.7,23.6,3,2011
106,104,Delone Carter,IND,25,RB,10,0,32,122,3,11,20,3.8,12.2,1,2012
254,247,Delvin Joyce,NYG,24,RB,12,0,2,2,0,0,1,1,0.2,3,2002
154,150,Delvin Joyce,NYG,25,RB,16,0,11,39,0,2,8,3.5,2.4,1,2003
347,337,Demetric Felton,CLE,24,RB,8,2,1,-4,0,0,-4,-4,-0.5,1,2022
35,35,Denard Robinson,JAX,24,RB,13,9,135,582,4,24,41,4.3,44.8,2,2014
81,80,Dennis Johnson,HOU,23,RB,8,1,49,183,0,8,29,3.7,22.9,0,2013
160,156,Deon Jackson,IND,22,RB,9,0,13,31,1,2,10,2.4,3.4,0,2021
71,70,Deon Jackson,IND,23,RB,16,2,68,236,1,13,17,3.5,14.8,1,2022
268,261,Derek Watt,SDG,24,RB,16,2,2,4,0,2,2,2,0.3,0,2016
194,189,Derek Watt,LAC,25,RB,16,4,6,24,0,2,17,4,1.5,0,2017
180,176,Derek Watt,LAC,27,RB,16,2,7,10,1,6,3,1.4,0.6,0,2019
379,368,Derek Watt,PIT,29,RB,17,4,1,1,0,1,1,1,0.1,0,2021
124,121,Derrick Blaylock,KAN,23,RB,12,0,16,72,0,3,16,4.5,6,0,2002
118,116,Derrick Blaylock,KAN,24,RB,16,0,22,112,2,7,25,5.1,7,1,2003
41,41,Derrick Blaylock,KAN,25,RB,12,5,118,539,8,34,24,4.6,44.9,0,2004
133,130,Derrick Blaylock,NYJ,26,RB,7,1,17,53,0,3,11,3.1,7.6,0,2005
98,96,Derrick Blaylock,NYJ,27,RB,4,2,25,44,0,0,6,1.8,11,0,2006
236,230,Derrick Coleman,SEA,23,RB,12,3,2,3,0,0,4,1.5,0.3,1,2013
180,176,Derrick Coleman,SEA,25,RB,14,3,8,32,0,3,19,4,2.3,0,2015
254,247,Derrick Coleman,ARI,28,RB,16,4,2,3,0,0,2,1.5,0.2,0,2018
93,91,Derrick Gore,KAN,27,RB,11,0,51,256,2,12,51,5,23.3,0,2021
39,39,Derrick Henry,TEN,22,RB,15,2,110,490,5,29,22,4.5,32.7,0,2016
24,25,Derrick Henry,TEN,23,RB,16,2,176,744,5,40,75,4.2,46.5,1,2017
11,12,Derrick Henry,TEN,24,RB,16,12,215,1059,12,50,99,4.9,66.2,1,2018
9,10,Derrick Henry,TEN,27,RB,8,8,219,937,10,49,76,4.3,117.1,1,2021
0,1,Derrick Henry*,TEN,25,RB,15,15,303,1540,16,73,74,5.1,102.7,5,2019
0,1,Derrick Henry*,TEN,28,RB,16,16,349,1538,13,65,56,4.4,96.1,6,2022
0,1,Derrick Henry*+,TEN,26,RB,16,16,378,2027,17,98,94,5.4,126.7,3,2020
228,222,Derrick Ross,KAN,23,RB,7,0,3,8,0,0,4,2.7,1.1,1,2006
92,90,Derrick Ward,NYG,25,RB,14,0,35,123,0,6,12,3.5,8.8,0,2005
42,42,Derrick Ward,NYG,27,RB,8,5,125,602,3,29,44,4.8,75.3,2,2007
28,29,Derrick Ward,NYG,28,RB,16,3,182,1025,2,53,51,5.6,64.1,2,2008
46,46,Derrick Ward,TAM,29,RB,14,1,114,409,1,13,28,3.6,29.2,0,2009
74,73,Derrick Ward,HOU,30,RB,16,0,50,315,4,17,38,6.3,19.7,0,2010
87,86,Derrick Ward,HOU,31,RB,12,1,45,154,2,11,15,3.4,12.8,0,2011
226,220,Derrick Wimbush,JAX,25,RB,14,1,3,12,1,1,7,4,0.9,1,2005
90,89,Derrius Guice,WAS,22,RB,5,1,42,245,2,9,60,5.8,49,0,2019
157,153,Detrez Newsome,LAC,24,RB,9,0,11,49,0,3,16,4.5,5.4,0,2018
126,123,Deuce McAllister,NOR,23,RB,16,4,16,91,1,4,54,5.7,5.7,1,2001
11,12,Deuce McAllister,NOR,26,RB,14,14,269,1074,9,54,71,4,76.7,5,2004
48,48,Deuce McAllister,NOR,27,RB,5,5,93,335,3,21,26,3.6,67,0,2005
18,19,Deuce McAllister,NOR,28,RB,15,13,244,1057,10,53,57,4.3,70.5,3,2006
112,110,Deuce McAllister,NOR,29,RB,3,3,24,92,0,3,15,3.8,30.7,1,2007
45,45,Deuce McAllister,NOR,30,RB,13,6,107,418,5,24,19,3.9,32.2,0,2008
4,5,Deuce McAllister*,NOR,24,RB,15,15,325,1388,13,68,62,4.3,92.5,4,2002
3,4,Deuce McAllister*,NOR,25,RB,16,16,351,1641,8,69,76,4.7,102.6,6,2003
217,211,Devante Mays,GNB,23,RB,8,0,4,1,0,0,2,0.3,0.1,2,2017
256,249,Devin Moore,IND,25,RB,4,0,2,-2,0,0,1,-1,-0.5,2,2010
30,30,Devin Singletary,BUF,22,RB,12,8,151,775,2,37,38,5.1,64.6,4,2019
23,24,Devin Singletary,BUF,23,RB,16,16,156,687,2,40,51,4.4,42.9,1,2020
18,19,Devin Singletary,BUF,24,RB,17,16,188,870,7,44,46,4.6,51.2,5,2021
30,30,Devin Singletary,BUF,25,RB,16,16,177,819,5,43,33,4.6,51.2,3,2022
166,162,Devine Ozigbo,JAX,23,RB,10,0,9,27,0,1,9,3,2.7,0,2019
354,344,Devine Ozigbo,JAX,24,RB,8,0,1,1,0,0,1,1,0.1,0,2020
360,350,Devine Ozigbo,2TM,25,RB,3,0,1,-3,0,0,0,-3,-1,0,2021
281,273,Devine Ozigbo,DEN,26,RB,4,0,3,4,0,0,4,1.3,1,0,2022
69,68,Devonta Freeman,ATL,22,RB,16,0,65,248,1,10,31,3.8,15.5,1,2014
19,20,Devonta Freeman,ATL,25,RB,14,14,196,865,7,55,44,4.4,61.8,4,2017
144,141,Devonta Freeman,ATL,26,RB,2,2,14,68,0,2,20,4.9,34,0,2018
20,21,Devonta Freeman,ATL,27,RB,14,14,184,656,2,31,28,3.6,46.9,3,2019
86,85,Devonta Freeman,NYG,28,RB,5,4,54,172,1,9,14,3.2,34.4,0,2020
40,40,Devonta Freeman,BAL,29,RB,16,8,133,576,5,31,32,4.3,36,0,2021
3,4,Devonta Freeman*,ATL,23,RB,15,13,265,1056,11,71,39,4,70.4,3,2015
12,13,Devonta Freeman*,ATL,24,RB,16,16,227,1079,11,66,75,4.8,67.4,1,2016
23,24,Devontae Booker,DEN,24,RB,16,6,174,612,4,31,18,3.5,38.3,4,2016
57,57,Devontae Booker,DEN,25,RB,13,0,79,299,1,13,26,3.8,23,2,2017
106,104,Devontae Booker,DEN,26,RB,16,0,34,183,1,11,26,5.4,11.4,1,2018
256,249,Devontae Booker,DEN,27,RB,16,0,2,9,0,0,5,4.5,0.6,0,2019
56,56,Devontae Booker,LVR,28,RB,16,1,93,423,3,21,43,4.5,26.4,1,2020
33,33,Devontae Booker,NYG,29,RB,16,4,145,593,2,31,31,4.1,37.1,0,2021
158,154,Dexter McCluster,KAN,23,RB,16,6,12,70,0,4,19,5.8,4.4,2,2012
202,197,Dexter Williams,GNB,22,RB,4,0,5,11,0,0,5,2.2,2.8,0,2019
303,295,Dexter Williams,GNB,23,RB,3,0,2,8,0,0,5,4,2.7,0,2020
92,90,Dimitri Nance,GNB,22,RB,12,0,36,95,0,4,11,2.6,7.9,0,2010
117,115,Dion Lewis,PHI,21,RB,15,0,23,102,1,5,20,4.4,6.8,1,2011
156,152,Dion Lewis,PHI,22,RB,9,0,13,69,1,6,17,5.3,7.7,0,2012
85,84,Dion Lewis,NWE,25,RB,7,6,49,234,2,15,13,4.8,33.4,2,2015
69,68,Dion Lewis,NWE,26,RB,7,5,64,283,0,14,15,4.4,40.4,1,2016
21,22,Dion Lewis,NWE,27,RB,16,8,180,896,6,49,44,5,56,0,2017
25,26,Dion Lewis,TEN,28,RB,16,7,155,517,1,22,36,3.3,32.3,1,2018
75,74,Dion Lewis,TEN,29,RB,16,1,54,209,0,6,17,3.9,13.1,1,2019
120,118,Dion Lewis,NYG,30,RB,16,0,29,115,2,8,19,4,7.2,3,2020
18,19,Domanick Williams,HOU,23,RB,14,10,238,1031,8,48,51,4.3,73.6,4,2003
8,9,Domanick Williams,HOU,24,RB,15,15,302,1188,13,57,44,3.9,79.2,4,2004
18,19,Domanick Williams,HOU,25,RB,11,11,230,976,2,39,44,4.2,88.7,2,2005
17,18,Dominic Rhodes,IND,22,RB,15,10,233,1104,9,58,77,4.7,73.6,6,2001
93,91,Dominic Rhodes,IND,24,RB,11,0,37,157,0,6,25,4.2,14.3,0,2003
77,76,Dominic Rhodes,IND,25,RB,16,0,53,254,1,16,55,4.8,15.9,2,2004
82,81,Dominic Rhodes,IND,26,RB,13,1,40,118,4,11,24,3,9.1,2,2005
28,29,Dominic Rhodes,IND,27,RB,16,16,187,641,5,40,17,3.4,40.1,3,2006
56,56,Dominic Rhodes,OAK,28,RB,10,2,75,302,1,18,25,4,30.2,2,2007
35,35,Dominic Rhodes,IND,29,RB,15,4,152,538,6,27,38,3.5,35.9,0,2008
88,87,Dominic Rhodes,IND,31,RB,3,0,37,172,0,8,15,4.6,57.3,1,2010
160,156,Don Jackson,GNB,23,RB,3,1,10,32,0,1,7,3.2,10.7,0,2016
57,57,Donald Brown,IND,22,RB,11,1,78,281,3,15,45,3.6,25.5,1,2009
38,38,Donald Brown,IND,23,RB,13,8,129,497,2,27,49,3.9,38.2,0,2010
34,34,Donald Brown,IND,24,RB,16,2,134,645,5,26,80,4.8,40.3,0,2011
41,41,Donald Brown,IND,25,RB,10,4,108,417,1,23,19,3.9,41.7,0,2012
47,47,Donald Brown,IND,26,RB,16,5,102,537,6,21,51,5.3,33.6,0,2013
54,54,Donald Brown,SDG,27,RB,13,3,85,223,0,13,16,2.6,17.2,1,2014
71,70,Donald Brown,SDG,28,RB,10,2,59,229,1,12,53,3.9,22.9,1,2015
104,102,Donnell Bennett,KAN,28,RB,7,2,27,24,1,7,6,0.9,3.4,0,2000
146,143,Dontrell Hilliard,CLE,24,RB,14,0,13,49,2,3,11,3.8,3.5,2,2019
178,174,Dontrell Hilliard,2TM,25,RB,7,0,9,48,0,3,19,5.3,6.9,0,2020
82,81,Dontrell Hilliard,TEN,26,RB,8,5,56,350,2,15,68,6.3,43.8,2,2021
133,130,Dontrell Hilliard,TEN,27,RB,12,1,22,145,0,4,30,6.6,12.1,0,2022
49,49,Dorsey Levens,GNB,30,RB,5,5,77,224,3,13,17,2.9,44.8,0,2000
81,80,Dorsey Levens,GNB,31,RB,15,1,44,165,0,6,40,3.8,11,0,2001
54,54,Dorsey Levens,PHI,32,RB,16,0,75,411,1,13,47,5.5,25.7,1,2002
62,61,Dorsey Levens,NYG,33,RB,11,0,68,197,3,16,17,2.9,17.9,0,2003
47,47,Dorsey Levens,PHI,34,RB,15,5,94,410,4,25,45,4.4,27.3,0,2004
62,61,Doug Chapman,MIN,24,RB,16,3,63,195,0,10,19,3.1,12.2,1,2001
136,133,Doug Chapman,MIN,25,RB,6,0,12,89,0,4,27,7.4,14.8,1,2002
141,138,Doug Chapman,MIN,26,RB,4,0,15,33,0,1,6,2.2,8.3,0,2003
39,39,Doug Martin,TAM,24,RB,6,6,127,456,1,18,28,3.6,76,2,2013
37,37,Doug Martin,TAM,25,RB,11,11,134,494,2,24,63,3.7,44.9,0,2014
28,29,Doug Martin,TAM,27,RB,8,8,144,421,3,24,17,2.9,52.6,1,2016
36,36,Doug Martin,TAM,28,RB,11,8,138,406,3,22,27,2.9,36.9,1,2017
21,22,Doug Martin,OAK,29,RB,16,9,172,723,4,37,29,4.2,45.2,3,2018
3,4,Doug Martin*,TAM,23,RB,16,16,319,1454,11,64,70,4.6,90.9,1,2012
1,2,Doug Martin*+,TAM,26,RB,16,16,288,1402,6,68,84,4.9,87.6,5,2015
172,168,DuJuan Harris,JAX,23,RB,5,0,9,42,0,2,24,4.7,8.4,0,2011
103,101,DuJuan Harris,GNB,24,RB,4,2,34,157,2,8,21,4.6,39.3,0,2012
143,140,DuJuan Harris,GNB,26,RB,15,0,16,64,0,5,12,4,4.3,0,2014
86,85,DuJuan Harris,2TM,27,RB,4,1,48,189,0,0,47,3.9,47.3,1,2015
92,90,DuJuan Harris,SFO,28,RB,10,1,38,138,0,6,19,3.6,13.8,2,2016
46,46,Duce Staley,PHI,25,RB,5,5,79,344,1,14,60,4.4,68.8,3,2000
30,30,Duce Staley,PHI,26,RB,13,10,166,604,2,29,44,3.6,46.5,3,2001
14,15,Duce Staley,PHI,27,RB,16,16,269,1029,5,58,57,3.8,64.3,3,2002
46,46,Duce Staley,PHI,28,RB,16,4,96,463,5,22,22,4.8,28.9,2,2003
28,29,Duce Staley,PIT,29,RB,10,10,192,830,1,38,38,4.3,83,3,2004
85,84,Duce Staley,PIT,30,RB,5,1,38,148,1,10,17,3.9,29.6,1,2005
45,45,Duke Johnson,CLE,22,RB,16,7,104,379,0,19,39,3.6,23.7,1,2015
62,61,Duke Johnson,CLE,23,RB,16,1,73,358,1,18,22,4.9,22.4,2,2016
55,55,Duke Johnson,CLE,24,RB,16,0,82,348,4,27,19,4.2,21.8,4,2017
99,97,Duke Johnson,CLE,25,RB,16,2,40,201,0,9,23,5,12.6,1,2018
52,52,Duke Johnson,HOU,26,RB,16,2,83,410,2,17,40,4.9,25.6,1,2019
70,69,Duke Johnson,HOU,27,RB,11,5,77,235,1,11,23,3.1,21.4,3,2020
67,66,Duke Johnson,MIA,28,RB,5,4,71,330,3,18,27,4.6,66,0,2021
306,298,Duke Johnson,BUF,29,RB,1,0,2,4,0,1,4,2,4,0,2022
50,50,Dwayne Washington,DET,22,RB,12,2,90,265,1,11,28,2.9,22.1,0,2016
131,128,Dwayne Washington,DET,23,RB,5,0,20,44,0,1,6,2.2,8.8,0,2017
118,116,Dwayne Washington,NOR,24,RB,13,0,27,154,0,7,28,5.7,11.8,0,2018
175,171,Dwayne Washington,NOR,25,RB,16,0,8,60,0,2,31,7.5,3.8,0,2019
188,183,Dwayne Washington,NOR,26,RB,11,0,8,15,0,0,5,1.9,1.4,0,2020
242,236,Dwayne Washington,NOR,27,RB,14,0,4,16,0,0,5,4,1.1,0,2021
175,171,Dwayne Washington,NOR,28,RB,12,0,11,38,0,2,8,3.5,3.2,0,2022
105,103,Dwayne Wright,BUF,24,RB,15,0,29,94,0,6,15,3.2,6.3,1,2007
139,136,Earnest Graham,TAM,24,RB,9,0,13,73,0,2,13,5.6,8.1,0,2004
110,108,Earnest Graham,TAM,25,RB,16,0,28,83,0,4,16,3,5.2,1,2005
145,142,Earnest Graham,TAM,26,RB,16,0,11,59,0,2,17,5.4,3.7,0,2006
18,19,Earnest Graham,TAM,27,RB,15,10,222,898,10,47,28,4,59.9,1,2007
40,40,Earnest Graham,TAM,28,RB,10,10,132,563,4,26,68,4.3,56.3,2,2008
148,145,Earnest Graham,TAM,29,RB,13,6,14,66,0,5,17,4.7,5.1,0,2009
128,125,Earnest Graham,TAM,30,RB,12,7,20,99,1,5,61,5,8.3,1,2010
97,95,Earnest Graham,TAM,31,RB,7,2,37,206,0,5,34,5.6,29.4,1,2011
5,6,Eddie George,TEN,28,RB,16,16,315,939,5,40,27,3,58.7,8,2001
2,3,Eddie George,TEN,29,RB,16,16,343,1165,12,62,35,3.4,72.8,1,2002
11,12,Eddie George,TEN,30,RB,16,16,312,1031,5,52,27,3.3,64.4,1,2003
35,35,Eddie George,DAL,31,RB,13,8,132,432,4,28,24,3.3,33.2,3,2004
0,1,Eddie George*+,TEN,27,RB,16,16,403,1509,14,78,35,3.7,94.3,5,2000
8,9,Eddie Lacy,GNB,24,RB,16,16,246,1139,9,60,44,4.6,71.2,3,2014
19,20,Eddie Lacy,GNB,25,RB,15,12,187,758,3,39,29,4.1,50.5,4,2015
64,63,Eddie Lacy,GNB,26,RB,5,5,71,360,0,15,31,5.1,72,0,2016
66,65,Eddie Lacy,SEA,27,RB,9,3,69,179,0,7,19,2.6,19.9,0,2017
4,5,Eddie Lacy*,GNB,23,RB,15,15,284,1178,11,63,60,4.1,78.5,1,2013
264,257,Eddie Williams,2TM,24,RB,6,0,2,2,0,0,1,1,0.3,0,2011
35,35,Edgerrin James,IND,23,RB,6,6,151,662,3,42,29,4.4,110.3,3,2001
12,13,Edgerrin James,IND,24,RB,14,14,277,989,2,59,20,3.6,70.6,4,2002
12,13,Edgerrin James,IND,25,RB,13,13,310,1259,11,84,43,4.1,96.8,5,2003
4,5,Edgerrin James,ARI,28,RB,16,16,337,1159,6,61,18,3.4,72.4,3,2006
1,2,Edgerrin James,ARI,29,RB,16,16,324,1222,7,57,27,3.8,76.4,5,2007
39,39,Edgerrin James,ARI,30,RB,13,7,133,514,3,25,35,3.9,39.5,2,2008
82,81,Edgerrin James,SEA,31,RB,7,0,46,125,0,8,10,2.7,17.9,1,2009
1,2,Edgerrin James*,IND,22,RB,16,16,387,1709,13,100,30,4.4,106.8,5,2000
6,7,Edgerrin James*,IND,26,RB,16,16,334,1548,9,78,40,4.6,96.8,6,2004
1,2,Edgerrin James*,IND,27,RB,15,15,360,1506,13,97,33,4.2,100.4,2,2005
95,93,Edwin Baker,CLE,22,RB,3,2,43,171,2,11,20,4,57,0,2013
270,263,Edwin Baker,NOR,23,RB,3,0,1,2,0,1,2,2,0.7,0,2014
139,136,Eldra Buckley,PHI,24,RB,16,0,15,44,1,4,9,2.9,2.8,0,2009
125,122,Eldra Buckley,PHI,25,RB,16,0,21,67,0,3,13,3.2,4.2,1,2010
51,51,Elijah McGuire,NYJ,23,RB,16,2,88,315,1,14,69,3.6,19.7,2,2017
53,53,Elijah McGuire,NYJ,24,RB,8,3,92,276,3,15,34,3,34.5,2,2018
12,13,Elijah Mitchell,SFO,23,RB,11,10,207,963,5,47,39,4.7,87.5,0,2021
89,88,Elijah Mitchell,SFO,24,RB,5,1,45,279,2,15,37,6.2,55.8,0,2022
111,109,Elijhaa Penny,ARI,24,RB,16,0,31,124,2,7,14,4,7.8,0,2017
187,182,Elijhaa Penny,NYG,25,RB,14,3,7,25,0,2,8,3.6,1.8,0,2018
143,140,Elijhaa Penny,NYG,26,RB,16,1,15,39,0,2,6,2.6,2.4,0,2019
211,206,Elijhaa Penny,NYG,27,RB,14,0,6,15,0,4,5,2.5,1.1,0,2020
136,133,Elijhaa Penny,NYG,28,RB,17,3,24,99,1,9,12,4.1,5.8,0,2021
56,56,Elvis Joseph,JAX,23,RB,14,3,68,294,0,13,27,4.3,21,2,2001
11,12,Emmitt Smith,DAL,31,RB,16,16,294,1203,9,66,52,4.1,75.2,6,2000
12,13,Emmitt Smith,DAL,32,RB,14,14,261,1021,3,48,44,3.9,72.9,1,2001
17,18,Emmitt Smith,DAL,33,RB,16,16,254,975,5,50,30,3.8,60.9,3,2002
50,50,Emmitt Smith,ARI,34,RB,10,5,90,256,2,15,22,2.8,25.6,2,2003
12,13,Emmitt Smith,ARI,35,RB,15,15,267,937,9,43,29,3.5,62.5,4,2004
119,117,Eno Benjamin,ARI,22,RB,9,0,34,118,1,4,21,3.5,13.1,0,2021
166,162,Eric McCoo,PHI,24,RB,1,0,9,54,0,3,12,6,54,0,2004
161,157,Eric Shelton,CAR,23,RB,9,0,8,23,0,1,9,2.9,2.6,0,2006
129,126,Erik Bickerstaff,DAL,23,RB,4,0,19,56,1,3,9,2.9,14,0,2003
240,234,Erik Lorig,NOR,28,RB,10,6,3,4,0,0,4,1.3,0.4,1,2014
55,55,Errict Rhett,CLE,30,RB,5,4,71,258,0,10,42,3.6,51.6,0,2000
79,78,Evan Royster,WAS,24,RB,6,2,56,328,0,17,28,5.9,54.7,0,2011
129,126,Evan Royster,WAS,25,RB,16,0,23,88,2,8,12,3.8,5.5,0,2012
259,252,Evan Royster,WAS,26,RB,10,0,2,0,0,0,0,0,0,0,2013
9,10,Ezekiel Elliott,DAL,22,RB,10,10,242,983,7,57,30,4.1,98.3,1,2017
4,5,Ezekiel Elliott,DAL,25,RB,15,15,244,979,6,62,31,4,65.3,6,2020
6,7,Ezekiel Elliott,DAL,26,RB,17,17,237,1002,10,55,47,4.2,58.9,1,2021
9,10,Ezekiel Elliott,DAL,27,RB,15,14,231,876,12,52,27,3.8,58.4,0,2022
0,1,Ezekiel Elliott*,DAL,23,RB,15,15,304,1434,6,74,41,4.7,95.6,6,2018
